id;question;predicate;subject
35228;what position in football does kelly campbell play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Kelly_Campbell
47580;where did richard euringer ultimately die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Richard_Euringer
36676;which time zone does sprott fall in;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Sprott,_Alabama
68404;What kind of a book is the boy and the darkness;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/The_Boy_and_the_Darkness
48471;what is the genre of the album sticky fingers;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Sticky_Fingers
32234;where was oscar cullmann first introduced to the world;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Oscar_Cullmann
39853;which country is lucio flavio dos santos from;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Lúcio_Flávio_dos_Santos
27429;what is the time zone for rosendale;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Rosendale,_Missouri
69758;What genre of music is world tour 1980?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/World_Tour_1980
70952;what types of game is startopia;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Startopia
48100;Where in Australia did george simpson die?;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/George_Simpson_(Queensland_politician)
03932;what type of genre is the album promised land?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Promised_Land_(Queensrÿche_album)
74937;What country was daniel feret born in?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Daniel_Féret
49688;what kind of book is heroic visions;http://dbpedia.org/ontology/literaryGenre;http://dbpedia.org/resource/Heroic_Visions
36301;where did concha piquer  pass away;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Concha_Piquer
58451;where was theophraste renaudot's birthplace;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Théophraste_Renaudot
02673;what is the original language of the book the disintegration machine;http://dbpedia.org/ontology/language;http://dbpedia.org/resource/The_Disintegration_Machine
33454;which time zone is lac la biche located in;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Lac_La_Biche,_Alberta
11136;Which position did tommie harris play?;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Tommie_Harris
68474;Does harry baker (footballer) play forward or midfielder;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Harry_Baker_(footballer)
39226;what position does claudell washington play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Claudell_Washington
25195;what type of music does zuri west play;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Züri_West
06209;what is the origin of the artist paul weller;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Paul_Weller
52221;which music label is turley richards signed to;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Turley_Richards
65553;What is the death place of Liang Shih-Chiu;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Liang_Shih-chiu
37900;where was  gareth grant born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Gareth_Grant
26368;what is marco kurth position in soccer?;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Marco_Kurth
28374;where was albert lee born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Albert_Lee
57808;"What type of music genre is ""One Year""?";http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/One_Year
30377;what position does ryoichi kurisawa play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Ryoichi_Kurisawa
65396;where was antoine christophe merlin born?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Antoine_Christophe_Merlin
49656;what city in argentina was carmen barbieri born in?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Carmen_Barbieri
41313;which city was the place of death of robert d. orr;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Robert_D._Orr
45701;what position does magnus johansson play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Magnus_Johansson_(footballer)
34450;fats domino belongs to what label;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Fats_Domino
63545;Where did herbert a. collins die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Herbert_A._Collins
47350;what is bobby ayala baseball position;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Bobby_Ayala
60628;what type of music is scott murphy known for?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Scott_Murphy_(musician)
28453;what kind of show is second thoughts;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Second_Thoughts_(TV_series)
17315;where in north america is farmington located;http://dbpedia.org/ontology/location;http://dbpedia.org/resource/Farmington_(Albemarle_County,_Virginia)
66394;what genre is blood fire death;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Blood_Fire_Death
63250;where was princess cecilia of sweden's last day alive;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Princess_Cecilia_of_Sweden_(1807–1844)
25557;what is the label that nancy sinatra is under?;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Nancy_Sinatra
00247;is big sugar a blues or contemporary rhythm and blues album;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Big_Sugar_(album)
69622;where was the origin of raul seixas?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Raul_Seixas
24632;what is the origin of the artist the wandas;http://dbpedia.org/ontology/hometown;http://dbpedia.org/resource/The_Wandas
23143;Where was Joan Rivers born in?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Joan_Rivers
74849;which time zone is the emmet in;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Emmet,_Arkansas
26569;Where was william boyd carpenter when he died;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/William_Boyd_Carpenter
18158;In which city was william s. tilton born?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/William_S._Tilton
26370;What genre of film is dresscode?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Dresscode_(TV_series)
06167;who was the producer for traitor;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Traitor_(film)
51240;What is the soccer position of thor jorgen spurkeland;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Thor_Jørgen_Spurkeland
29645;what city did orhan die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Orhan_of_the_Ottoman_Empire
48088;what type of music does gary chester play;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Gary_Chester
39366;What county does Alan da Silva Souza get his nationality?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Alan_da_Silva_Souza
54324;Which country was gudmundur steinarsson born in;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Guðmundur_Steinarsson
46421;where was jamie tolley born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Jamie_Tolley
08709;where did charles m. dale die?;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Charles_M._Dale
33468;What genre of music is some of my best friends are djs;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Some_of_My_Best_Friends_Are_DJs
37220;Who wrote azincourt?;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/Azincourt_(novel)
36530;What is the genre of the game tak and the power of juju;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Tak_and_the_Power_of_Juju
10020;what kind of music does phil shoenfelt play;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Phil_Shoenfelt
68546;where was steven j. mcauliffe bron;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Steven_J._McAuliffe
24784;Where did pedro nel ospina vazquez die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Pedro_Nel_Ospina_Vázquez
21635;Which time zone is fredonia in?;http://dbpedia.org/ontology/timeZone;http://dbpedia.org/resource/Fredonia,_Kansas
33828;Who wrote the song 409 (song);http://dbpedia.org/ontology/writer;http://dbpedia.org/resource/409_(song)
30668;what position does randy dixon play in american football;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Randy_Dixon
60302;what kind of music is on now that's what i call the 80s;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Now_That's_What_I_Call_the_80s
34502;Where was bob murphy born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Bob_Murphy_(golfer)
