question;relation
what is the genre of transport;http://dbpedia.org/ontology/genre
what genre is a thousand lights in a darkened room;http://dbpedia.org/ontology/genre
what former legislator was born in new castle;http://dbpedia.org/ontology/birthPlace
What kind of music is the album know hope collective?;http://dbpedia.org/ontology/genre
dracula x: nocturne in the moonlight ost belongs to what musical genre?;http://dbpedia.org/ontology/genre
What is the name of a progressive rock album?;http://dbpedia.org/ontology/genre
what is a west coast hip hop album?;http://dbpedia.org/ontology/genre
What movie has sacha gervasi contributed to;http://dbpedia.org/ontology/writer
What is the name of an album that has dance music on it;http://dbpedia.org/ontology/genre
What's a movie written by michael powell (director);http://dbpedia.org/ontology/writer
what is tilo wolff's chose style of music;http://dbpedia.org/ontology/genre
Who's a musician that plays urban contemporary gospel;http://dbpedia.org/ontology/genre
what music does thebigsir play?;http://dbpedia.org/ontology/genre
Where was mika niskala's place of death?;http://dbpedia.org/ontology/birthPlace
Where on the east coast was h. bruce humberstone born?;http://dbpedia.org/ontology/birthPlace
Name a person named in the united states.;http://dbpedia.org/ontology/birthPlace
where did otto huber die;http://dbpedia.org/ontology/deathPlace
what kind of genre is el cielo;http://dbpedia.org/ontology/genre
Where was babak pourgholami born?;http://dbpedia.org/ontology/birthPlace
what actor was born in http://en.wikipedia.org/wiki/Princess_Juliana_International_Airport;http://dbpedia.org/ontology/birthPlace
what state is fort mcallister historic park in;http://dbpedia.org/ontology/location
where was cristian gabriel chavez born;http://dbpedia.org/ontology/birthPlace
Who's the writer behind dulcy;http://dbpedia.org/ontology/writer
Who is a notable person that was born in holland park;http://dbpedia.org/ontology/birthPlace
which city was elliott h. lieb born;http://dbpedia.org/ontology/birthPlace
Where did ian axford pass away;http://dbpedia.org/ontology/deathPlace
what type of music does adrian smith play;http://dbpedia.org/ontology/genre
What genre is collide?;http://dbpedia.org/ontology/genre
Where was princess marie louise of bourbon-parma born;http://dbpedia.org/ontology/birthPlace
where was halit akcatepe born;http://dbpedia.org/ontology/birthPlace
which country is louis bertignac from;http://dbpedia.org/ontology/birthPlace
what kinds of music is warped tour 2001 tour compilation;http://dbpedia.org/ontology/genre
What is lee nerison's place of birth?;http://dbpedia.org/ontology/birthPlace
which country was heinz muller born in;http://dbpedia.org/ontology/birthPlace
Name someone who was born in shrewsbury;http://dbpedia.org/ontology/birthPlace
what kind of hip hop is power of the dollar considered;http://dbpedia.org/ontology/genre
Which country was fabrice grinda born in;http://dbpedia.org/ontology/birthPlace
"What type of music genre is ""One Year""?";http://dbpedia.org/ontology/genre
What is a film paul gegauff wrote?;http://dbpedia.org/ontology/writer
where was  richard lyons, 1st viscount lyons born;http://dbpedia.org/ontology/birthPlace
what musician has hip hop music;http://dbpedia.org/ontology/genre
where in russia was  valentin lebedev born;http://dbpedia.org/ontology/birthPlace
what genre is cesium137;http://dbpedia.org/ontology/genre
Who is an example of a tango music artist;http://dbpedia.org/ontology/genre
what type of music is sad sappy sucker;http://dbpedia.org/ontology/genre
what time zone is  jackpot located;http://dbpedia.org/ontology/timeZone
what type of music is on the album raw melody men;http://dbpedia.org/ontology/genre
What was the location of cesare giulio viola's death?;http://dbpedia.org/ontology/deathPlace
what is an example of a rock music album from 1974;http://dbpedia.org/ontology/genre
which indie pop artists currently reside in sweden?;http://dbpedia.org/ontology/genre
What is an example of a action game?;http://dbpedia.org/ontology/genre
What is the genre of let the music play: supreme rarities?;http://dbpedia.org/ontology/genre
Where was audrys juozas backis born?;http://dbpedia.org/ontology/birthPlace
what is the place rudolf schlichter died?;http://dbpedia.org/ontology/deathPlace
what types of music is played by akiko matsuura;http://dbpedia.org/ontology/genre
Who is a person that was born in bethel park, pennsylvania;http://dbpedia.org/ontology/birthPlace
Which time zone is copacabana apart of?;http://dbpedia.org/ontology/timeZone
What genre is the album peter gabriel;http://dbpedia.org/ontology/genre
what's a movie that paul weitz help write;http://dbpedia.org/ontology/writer
where did nick rhodes originate?;http://dbpedia.org/ontology/birthPlace
What is the birth place of jeff rohrer?;http://dbpedia.org/ontology/birthPlace
where is the ralph johnson bunche house located;http://dbpedia.org/ontology/location
Where was tom anderson born;http://dbpedia.org/ontology/birthPlace
Which video game genre is mega man x3?;http://dbpedia.org/ontology/genre
Name a post-hardcore album;http://dbpedia.org/ontology/genre
where was sandro nicevic born;http://dbpedia.org/ontology/birthPlace
