question;predicate
where in the united states did john kennedy toole die?;http://dbpedia.org/ontology/deathPlace
who wrote la reine margot;http://dbpedia.org/ontology/author
Who's the author of o shepherd, speak!;http://dbpedia.org/ontology/author
what is a song by Jay-Z is featured by rihanna;http://dbpedia.org/ontology/writer
which position does luke clark play;http://dbpedia.org/ontology/position
who was a person born in ealing;http://dbpedia.org/ontology/birthPlace
where was the birth place of byron smith;http://dbpedia.org/ontology/birthPlace
Where in pennsylvania was harry o'neill born;http://dbpedia.org/ontology/birthPlace
What position does harizul izuan abdul rani play?;http://dbpedia.org/ontology/position
Which language is in the film dr. jekyll and mr. hyde;http://dbpedia.org/ontology/language
Which genre of music does the legendary pink dots make;http://dbpedia.org/ontology/genre
what time zone is monsteras in?;http://dbpedia.org/ontology/timeZone
Where was robert vallee born;http://dbpedia.org/ontology/birthPlace
What is a film written by thom fitzgerald?;http://dbpedia.org/ontology/writer
Where in Scotland was flora stevenson born?;http://dbpedia.org/ontology/birthPlace
what type of videogame is gregory horror show;http://dbpedia.org/ontology/genre
which baseball pitcher was born in pittsburgh;http://dbpedia.org/ontology/birthPlace
what kind of tv show was a pup named scooby-doo;http://dbpedia.org/ontology/genre
who was born in bolivia?;http://dbpedia.org/ontology/birthPlace
what position does  kevin mench play;http://dbpedia.org/ontology/position
which castle is located in wallingford, oxfordshire;http://dbpedia.org/ontology/location
what type of game is forsaken?;http://dbpedia.org/ontology/genre
Where in Canada is stephen mchattie born?;http://dbpedia.org/ontology/birthPlace
which film is joie lee a story contributor for;http://dbpedia.org/ontology/writer
which time zone is gura humorului in;http://dbpedia.org/ontology/timeZone
which record is created by peter watts;http://dbpedia.org/ontology/recordLabel
what country was jerome thomas born in?;http://dbpedia.org/ontology/birthPlace
Where is ernst dohm from;http://dbpedia.org/ontology/birthPlace
where was simon church born?;http://dbpedia.org/ontology/birthPlace
what genre is the game virtual pool 3?;http://dbpedia.org/ontology/genre
who was born in wincanton?;http://dbpedia.org/ontology/birthPlace
what city did herbert weichmanndie;http://dbpedia.org/ontology/deathPlace
what is the birth place of mehdi belhaj kacem;http://dbpedia.org/ontology/birthPlace
who was born in russia?;http://dbpedia.org/ontology/birthPlace
what is a town in the eastern daylight time?;http://dbpedia.org/ontology/timeZone
who is the producer of the the sun also rises film;http://dbpedia.org/ontology/producer
what is a suspense book written by agatha christie;http://dbpedia.org/ontology/literaryGenre
what position does bob heise play;http://dbpedia.org/ontology/position
what genre is the book syrup;http://dbpedia.org/ontology/literaryGenre
where is the ralph johnson bunche house located;http://dbpedia.org/ontology/location
What musical genre is cut copy;http://dbpedia.org/ontology/genre
Where was eric owens born?;http://dbpedia.org/ontology/birthPlace
what kind of music is on alpha noir / omega white?;http://dbpedia.org/ontology/genre
what type of pop album is pink lady twin best;http://dbpedia.org/ontology/genre
What type of music is played on eye of the hurricane;http://dbpedia.org/ontology/genre
where in france did roland fraisse die in?;http://dbpedia.org/ontology/deathPlace
What genre of music are the citizens;http://dbpedia.org/ontology/genre
what genre does kid 606 perform in;http://dbpedia.org/ontology/genre
which country is mauricio pinilla from;http://dbpedia.org/ontology/birthPlace
Where is sylvanus n. staples house located?;http://dbpedia.org/ontology/location
Name an action game.;http://dbpedia.org/ontology/genre
what type of rock is the album yankee hotel foxtrot;http://dbpedia.org/ontology/genre
what position is zeke wrigley known for;http://dbpedia.org/ontology/position
where was sallai meridor born?;http://dbpedia.org/ontology/birthPlace
which record label is z-ro signed with?;http://dbpedia.org/ontology/recordLabel
where was andres thomas born;http://dbpedia.org/ontology/birthPlace
what kind of music can be found by listening to the album just chillin';http://dbpedia.org/ontology/genre
what is the genre of the artist alexi murdoch;http://dbpedia.org/ontology/genre
what kind of film is addition and subtraction?;http://dbpedia.org/ontology/language
Who directed the french film le golem?;http://dbpedia.org/ontology/director
gattman is in which time zone;http://dbpedia.org/ontology/timeZone
what label worked with ed askew;http://dbpedia.org/ontology/recordLabel
What position does bernd holzenbein play?;http://dbpedia.org/ontology/position
who is the record label of the artist thelonious monk?;http://dbpedia.org/ontology/recordLabel
what country is stefan richarz from;http://dbpedia.org/ontology/birthPlace
where was morgan d. peoples given birth;http://dbpedia.org/ontology/birthPlace
what kind of music is on the album allure;http://dbpedia.org/ontology/genre
of which nationality is mario de alencar;http://dbpedia.org/ontology/birthPlace
Where was alexander mitchell born?;http://dbpedia.org/ontology/birthPlace
what is hollis mclaren's birth place;http://dbpedia.org/ontology/birthPlace
what was originated by teremoana rapley;http://dbpedia.org/ontology/hometown
which country did sir anthony jackson pass away in;http://dbpedia.org/ontology/deathPlace
what album falls under the category of folk music;http://dbpedia.org/ontology/genre
What type of fiction book is the tombs of atuan;http://dbpedia.org/ontology/literaryGenre
where did petar parchevich die;http://dbpedia.org/ontology/deathPlace
where was kai hansen born in?;http://dbpedia.org/ontology/birthPlace
what kind of video game is brutal legend?;http://dbpedia.org/ontology/genre
which album is produced by the martinis;http://dbpedia.org/ontology/recordLabel
what artist is under the record label  metal blade records;http://dbpedia.org/ontology/recordLabel
what genre is the album have a nice day;http://dbpedia.org/ontology/genre
who wrote something called the problem of the covered bridge;http://dbpedia.org/ontology/author
What's an episode of south park directed by trey parker;http://dbpedia.org/ontology/director
where did cathy downs pass away in;http://dbpedia.org/ontology/deathPlace
what type of music is suspicious activity?;http://dbpedia.org/ontology/genre
what position does lee goodwin play in soccer;http://dbpedia.org/ontology/position
what position does corky withrow play;http://dbpedia.org/ontology/position
what artist makes pop music music?;http://dbpedia.org/ontology/genre
What genre does psilodump fall under?;http://dbpedia.org/ontology/genre
What music genre would Lucas Silvereia fall into?;http://dbpedia.org/ontology/genre
What is mark difelice position;http://dbpedia.org/ontology/position
what time zone is hartford in;http://dbpedia.org/ontology/timeZone
what Italian hammer is from palmanova;http://dbpedia.org/ontology/birthPlace
what city in Germany was hilmar zahn born;http://dbpedia.org/ontology/birthPlace
what is an example of a punk rock artist?;http://dbpedia.org/ontology/genre
What type of music does model a make;http://dbpedia.org/ontology/genre
what is the genre of the album in trance;http://dbpedia.org/ontology/genre
where was asmus jacob carstens born;http://dbpedia.org/ontology/deathPlace
what's the name of a progressive rock band;http://dbpedia.org/ontology/genre
Who's the writer of the man with the golden gun;http://dbpedia.org/ontology/writer
what book genre is survivors quest?;http://dbpedia.org/ontology/literaryGenre
what type of music is on phoenix?;http://dbpedia.org/ontology/genre
What genre of music does tadpole create;http://dbpedia.org/ontology/genre
what films have francis ford coppola produced?;http://dbpedia.org/ontology/producer
where was amelia curtis given birth;http://dbpedia.org/ontology/birthPlace
who was the director of la terrazza;http://dbpedia.org/ontology/director
who was born in arlington county?;http://dbpedia.org/ontology/birthPlace
in what puerto rican town was carlos delgado born;http://dbpedia.org/ontology/birthPlace
what game is a platform game?;http://dbpedia.org/ontology/genre
what is johnny dee's record label;http://dbpedia.org/ontology/recordLabel
What is a composition by barry manilow?;http://dbpedia.org/ontology/writer
what is the location of eastern daylight time?;http://dbpedia.org/ontology/timeZone
what type of music does vektor make;http://dbpedia.org/ontology/genre
what is an album with experimental rock music?;http://dbpedia.org/ontology/genre
what is a film in the anime genre;http://dbpedia.org/ontology/language
Which position did former football player mike mandarino play?;http://dbpedia.org/ontology/position
which recording label signed bilinda butcher;http://dbpedia.org/ontology/recordLabel
state len stephenson's football position;http://dbpedia.org/ontology/position
what time zone is lindstrom in;http://dbpedia.org/ontology/timeZone
Where was eilaine roth born?;http://dbpedia.org/ontology/birthPlace
What lyrics did John Oates write?;http://dbpedia.org/ontology/writer
What subgenre of rock does scott matthew play;http://dbpedia.org/ontology/genre
What genre is the album democracy?;http://dbpedia.org/ontology/genre
what is a 1995 science fiction book;http://dbpedia.org/ontology/literaryGenre
where did kim nam-il originate from;http://dbpedia.org/ontology/birthPlace
what position does jules rykovich play in football;http://dbpedia.org/ontology/position
jon card could be labeled as what;http://dbpedia.org/ontology/genre
What position does christophe mandanne play?;http://dbpedia.org/ontology/position
which time zone is wrightstown in;http://dbpedia.org/ontology/timeZone
What is the birth place of palmiro togliatti;http://dbpedia.org/ontology/birthPlace
Where in the United States is south pointe park?;http://dbpedia.org/ontology/location
what law and order episode did blake masters write;http://dbpedia.org/ontology/writer
what person plays the baseball position of a pitcher?;http://dbpedia.org/ontology/position
Which time zone is plainville located in;http://dbpedia.org/ontology/timeZone
what types of music is three ringz;http://dbpedia.org/ontology/genre
what time zone encompasses south woodbridge;http://dbpedia.org/ontology/timeZone
Name an Australian academic born in melbourne;http://dbpedia.org/ontology/birthPlace
