id;question;predicate;subject
61904;What kind of music does phil driscoll make;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Phil_Driscoll
38264;what position does rachid alioui play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Rachid_Alioui
47721;What type of music does presence (band) play?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Presence_(band)
25633;Who wrote echo park;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/Echo_Park_(novel)
52786;what is johnny dee's record label;http://dbpedia.org/ontology/recordLabel;http://dbpedia.org/resource/Johnny_Dee_(musician)
41223;what kind of music is lynn carey saylor known for?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Lynn_Carey_Saylor
63998;what kind of music is on edge of the century?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Edge_of_the_Century
59383;what director directed speed racer;http://dbpedia.org/ontology/director;http://dbpedia.org/resource/Speed_Racer_(film)
45057;what kind of music does maki yano play;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/Maki_Yano
24695;which city was kashif khan born;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Kashif_Khan
56154;Who was the producer on flying swords of dragon gate;http://dbpedia.org/ontology/producer;http://dbpedia.org/resource/Flying_Swords_of_Dragon_Gate
14915;what position is zeke wrigley known for;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Zeke_Wrigley
41856;What position does norman tome play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Norman_Tome
70893;who is the author of jihad vs. mcworld?;http://dbpedia.org/ontology/author;http://dbpedia.org/resource/Jihad_vs._McWorld
49333;what genre is from the album when the lights go out?;http://dbpedia.org/ontology/genre;http://dbpedia.org/resource/When_the_Lights_Go_Out_(album)
62394;what position does ila borders play;http://dbpedia.org/ontology/position;http://dbpedia.org/resource/Ila_Borders
44886;where was sidi ould cheikh abdallahi born?;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Sidi_Ould_Cheikh_Abdallahi
41324;where in south america did bertha puga martinez die in?;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Bertha_Puga_Martínez
19390;Where did pierre charles die;http://dbpedia.org/ontology/deathPlace;http://dbpedia.org/resource/Pierre_Charles
42974;Which city was grace huang born in;http://dbpedia.org/ontology/birthPlace;http://dbpedia.org/resource/Grace_Huang
